elemIdx,elemLeft,elemRight,elemCenter,rho,v,p
76,0.76,0.77,0.765,5.99242,-6.19633,46.09499999999999
77,0.77,0.78,0.775,5.99242,-6.19633,46.09499999999999
78,0.78,0.79,0.785,5.99242,-6.19633,46.09499999999999
79,0.79,0.8,0.795,5.99242,-6.19633,46.09499999999999
80,0.8,0.81,0.805,5.99242,-6.19633,46.09499999999999
81,0.81,0.8200000000000001,0.8150000000000001,5.99242,-6.19633,46.09499999999999
82,0.8200000000000001,0.8300000000000001,0.8250000000000001,5.99242,-6.19633,46.09499999999999
83,0.8300000000000001,0.84,0.835,5.99242,-6.19633,46.09499999999999
84,0.84,0.85,0.845,5.99242,-6.19633,46.09499999999999
85,0.85,0.86,0.855,5.99242,-6.19633,46.09499999999999
86,0.86,0.87,0.865,5.99242,-6.19633,46.09499999999999
87,0.87,0.88,0.875,5.99242,-6.19633,46.09499999999999
88,0.88,0.89,0.885,5.99242,-6.19633,46.09499999999999
89,0.89,0.9,0.895,5.99242,-6.19633,46.09499999999999
90,0.9,0.91,0.905,5.99242,-6.19633,46.09499999999999
91,0.91,0.92,0.915,5.99242,-6.19633,46.09499999999999
92,0.92,0.93,0.925,5.99242,-6.19633,46.09499999999999
93,0.93,0.9400000000000001,0.935,5.99242,-6.19633,46.09499999999999
94,0.9400000000000001,0.9500000000000001,0.9450000000000001,5.99242,-6.19633,46.09499999999999
95,0.9500000000000001,0.96,0.9550000000000001,5.99242,-6.19633,46.09499999999999
96,0.96,0.97,0.965,5.99242,-6.19633,46.09499999999999
97,0.97,0.98,0.975,5.99242,-6.19633,46.09499999999999
98,0.98,0.99,0.985,5.99242,-6.19633,46.09499999999999
99,0.99,1.0,0.995,5.99242,-6.19633,46.09499999999999
