elemIdx,elemLeft,elemRight,elemCenter,rho,v,p
82,0.8200000000000001,0.8300000000000001,0.8250000000000001,31.042601641619882,8.689774411632381,1691.6469553991262
83,0.8300000000000001,0.84,0.835,31.042601641619882,8.689774411632381,1691.6469553991262
84,0.84,0.85,0.845,31.042601641619882,8.689774411632381,1691.6469553991262
85,0.85,0.86,0.855,31.042601641619882,8.689774411632381,1691.6469553991262
86,0.86,0.87,0.865,31.042601641619882,8.689774411632381,1691.6469553991262
87,0.87,0.88,0.875,31.042601641619882,8.689774411632381,1691.6469553991262
88,0.88,0.89,0.885,31.042601641619882,8.689774411632381,1691.6469553991262
89,0.89,0.9,0.895,31.042601641619882,8.689774411632381,1691.6469553991262
90,0.9,0.91,0.905,31.042601641619882,8.689774411632381,1691.6469553991262
91,0.91,0.92,0.915,31.042601641619882,8.689774411632381,1691.6469553991262
92,0.92,0.93,0.925,31.042601641619882,8.689774411632381,1691.6469553991262
93,0.93,0.9400000000000001,0.935,5.99242,-6.19633,46.09499999999999
94,0.9400000000000001,0.9500000000000001,0.9450000000000001,5.99242,-6.19633,46.09499999999999
95,0.9500000000000001,0.96,0.9550000000000001,5.99242,-6.19633,46.09499999999999
96,0.96,0.97,0.965,5.99242,-6.19633,46.09499999999999
97,0.97,0.98,0.975,5.99242,-6.19633,46.09499999999999
98,0.98,0.99,0.985,5.99242,-6.19633,46.09499999999999
99,0.99,1.0,0.995,5.99242,-6.19633,46.09499999999999
